smokers_me_2_rate_3_11_7_13, area_code, obese_p_me_2_rate_3_11_7_13, alcohol_cons_2_rate_3_11_7_13
23.5915629799291,215031404,30.8531042217481,3.33353633135707
23.5915629799291,215031405,30.8531042217481,3.33353633135707
23.6005330778253,216011406,33.4311221181193,3.29786215490999
24.3853043161998,201011004,31.762378496307,3.25768855610177
16.7652059013177,201011005,27.2960275951921,2.86605888297098
24.3853043161998,201011006,31.762378496307,3.25768855610177
16.7652059013177,201011007,27.2960275951921,2.86605888297098
25.245690352224,216011407,32.3974960505826,3.38369505324336
23.6005330778253,216011408,33.4311221181193,3.29786215490999
29.9289573762614,201031016,33.7936831835116,3.64085652037297
25.8284226507689,201031017,29.2812670751438,3.45126283813082
25.5486608096507,202011018,30.6078704321575,3.48248620599422
28.4527664213015,202011019,33.4224638424406,3.48980016305389
19.4795610666297,202011021,27.751580469966,2.98501003753567
25.3560750626336,202011022,31.1051335671722,3.32423466658834
19.4795610666297,202011020,27.751580469966,2.98501003753567
17.1242006871953,202011023,28.7133545856891,3.0033277408197
14.9176877142295,202011024,27.4154133999627,2.75767708664704
20.8747606471203,202021027,25.784572415356,3.13131585766061
20.8747606471203,202021028,25.784572415356,3.13131585766061
26.1442817684087,202021029,31.7748691984308,3.47743505411308
20.412869215129,202021030,28.2666492380855,3.09465445120844
16.0930213672799,202021031,28.745232688839,2.76885556976241
21.9934651142538,202031032,30.0921104099457,3.29317780566368
25.7361333383094,202031033,31.37661427083,3.52321841911014
18.979309673664,203011034,26.9715088183829,3.04815240398487
18.979309673664,203011035,26.9715088183829,3.04815240398487
21.00188402957,203021037,26.6928316868477,3.08120106153677
30.5861308377609,203021038,36.8261911032738,3.53066535787663
21.00188402957,203021039,26.6928316868477,3.08120106153677
11.7659384224265,208011170,14.847568576164,2.42578937848451
20.0045114589109,203021040,28.1718693966637,3.26584541046526
18.9661442628568,203021041,28.6916535978631,3.02190270383491
13.5514274143566,203021042,23.8066212672983,2.64283078459764
19.0421130234013,203021043,27.814399116089,3.12364052087118
19.6017201608315,203021044,28.6102786807842,3.058770949633
27.4916120401312,203021045,33.7582128540246,3.48727576492825
19.715151861981,203031048,29.1623528373194,3.01475654824008
16.6836443600771,203031049,23.9163091763556,2.83213196209252
17.0160666698552,203031050,26.7611561221641,2.81341261139304
23.3402539463118,203031051,27.7820624858761,3.15585640781762
19.9341284513808,204031068,26.5333268810365,3.10358996013702
21.6152259968474,204031069,30.0712921125295,3.20941613218906
19.9341284513808,204031070,26.5333268810365,3.10358996013702
