score, sa2_code
1042,"212031303"
953,"212031304"
1030,"211031263"
1006,"211031266"
1051,"211031267"
1035,"211041271"
1066,"211041272"
1082,"211041273"
1067,"211051274"
946,"212031305"
1058,"211051280"
1041,"211051281"
1082,"211051282"
1050,"211051283"
1058,"211051284"
1048,"211051285"
977,"211051286"
1075,"212011287"
1035,"212011288"
1058,"212011289"
986,"212011290"
1047,"212031306"
993,"212011291"
1004,"212011292"
1061,"212021293"
1071,"212021294"
842,"212021295"
946,"212041310"
1012,"212021296"
953,"212021297"
1003,"212021298"
1085,"212021299"
946,"212031300"
1031,"212031301"
1040,"212031307"
1027,"212031308"
987,"212041309"
846,"212041311"
940,"212041312"
1071,"212041313"
971,"212041314"
852,"212041317"
880,"212041315"
943,"212041316"
867,"212041318"
1025,"212051319"
980,"212051320"
1069,"212051321"
1050,"212051322"
1064,"212051324"
1027,"212051326"
1041,"212051325"
880,"213011328"
1081,"212051327"
980,"213011329"
948,"213011330"
985,"213011332"
854,"213011333"
845,"213011334"
831,"213011335"
851,"213011337"
908,"213011336"
1010,"213011339"
1056,"213011340"
870,"213011338"
981,"213021342"
1019,"213021341"
913,"213021343"
1031,"213021345"
1062,"213021346"
1051,"213021344"
868,"213031347"
939,"213031348"
1052,"213031349"
1026,"213031350"
1047,"213031352"
1005,"213041353"
1030,"213041354"
1051,"213041355"
943,"213041356"
949,"213041357"
985,"213041358"
932,"213041359"
1008,"213051361"
983,"213051362"
913,"213051363"
1093,"213051364"
1031,"213051365"
985,"214011370"
1017,"213051366"
951,"213051367"
963,"214011371"
907,"214011372"
980,"215031405"
967,"216011406"
955,"216011407"
999,"216011408"
1060,"214011373"
1046,"214011374"
981,"214011375"
1062,"214011376"
1004,"214021377"
1081,"214021378"
989,"214021379"
1013,"214021380"
1106,"214021381"
1083,"214021382"
1004,"214021383"
944,"214021384"
911,"216031415"
955,"216031416"
937,"216031417"
1040,"216031418"
974,"216031419"
981,"217011420"
984,"217011421"
1028,"214021385"
943,"217011422"
1013,"217011423"
926,"215011386"
1016,"215011387"
966,"216011409"
948,"216011410"
904,"216021411"
994,"216021412"
960,"216021413"
978,"215011388"
1031,"215011389"
956,"215011390"
942,"215011391"
936,"215011392"
983,"215011393"
951,"215011394"
1007,"215021395"
940,"215021396"
914,"215021397"
991,"215021398"
926,"215021399"
968,"215031400"
975,"215031401"
931,"215031402"
872,"215031403"
957,"215031404"
947,"217021424"
937,"217021425"
1009,"217021426"
973,"217021427"
1014,"217021428"
1007,"217021429"
1023,"217021430"
991,"217021431"
985,"217021432"
996,"217021433"
